Header:
std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=7674, nanosec=489828461), frame_id='sensor_kit_base_link')
Fields:
sensor_msgs.msg.PointField(name='x', offset=0, datatype=7, count=1)
sensor_msgs.msg.PointField(name='y', offset=4, datatype=7, count=1)
sensor_msgs.msg.PointField(name='z', offset=8, datatype=7, count=1)
sensor_msgs.msg.PointField(name='intensity', offset=16, datatype=7, count=1)
sensor_msgs.msg.PointField(name='ring', offset=20, datatype=4, count=1)
sensor_msgs.msg.PointField(name='azimuth', offset=24, datatype=7, count=1)
sensor_msgs.msg.PointField(name='distance', offset=28, datatype=7, count=1)
sensor_msgs.msg.PointField(name='return_type', offset=32, datatype=2, count=1)
sensor_msgs.msg.PointField(name='time_stamp', offset=40, datatype=8, count=1)

Data:
Point(x=-7.8728027, y=3.8146973e-06, z=-2.0830019, intensity=100.0, ring=1, azimuth=0.0, distance=8.15051, return_type=0, time_stamp=0.0)
Point(x=-9.235901, y=-1.1444092e-05, z=-2.1042511, intensity=100.0, ring=2, azimuth=0.0, distance=9.478839, return_type=0, time_stamp=0.0)
Point(x=-11.120026, y=3.8146973e-06, z=-2.131893, intensity=100.0, ring=3, azimuth=0.0, distance=11.328155, return_type=0, time_stamp=0.0)
Point(x=-13.846863, y=3.0517578e-05, z=-2.1620219, intensity=100.0, ring=4, azimuth=0.0, distance=14.019456, return_type=0, time_stamp=0.0)
Point(x=-18.349426, y=-4.9591064e-05, z=-2.2204115, intensity=100.0, ring=5, azimuth=0.0, distance=18.487206, return_type=0, time_stamp=0.0)
Point(x=-27.267395, y=0.00016784668, z=-2.3515704, intensity=100.0, ring=6, azimuth=0.0, distance=27.37155, return_type=0, time_stamp=0.0)
Point(x=-50.28543, y=0.00020599365, z=-2.5998535, intensity=100.0, ring=7, azimuth=0.0, distance=50.35443, return_type=0, time_stamp=0.0)
Point(x=-7.873352, y=0.027557373, z=-2.0831678, intensity=100.0, ring=1, azimuth=0.0, distance=8.151153, return_type=0, time_stamp=0.0)
Point(x=-9.236572, y=0.03224945, z=-2.104445, intensity=100.0, ring=2, azimuth=0.0, distance=9.479567, return_type=0, time_stamp=0.0)
Point(x=-11.121216, y=0.038894653, z=-2.1321313, intensity=100.0, ring=3, azimuth=0.0, distance=11.32943, return_type=0, time_stamp=0.0)
Point(x=-13.84787, y=0.048351288, z=-2.1622024, intensity=100.0, ring=4, azimuth=0.0, distance=14.02054, return_type=0, time_stamp=0.0)
Point(x=-18.350586, y=0.06388855, z=-2.2205985, intensity=100.0, ring=5, azimuth=0.0, distance=18.488487, return_type=0, time_stamp=0.0)
Point(x=-27.270111, y=0.094833374, z=-2.3518581, intensity=100.0, ring=6, azimuth=0.0, distance=27.374449, return_type=0, time_stamp=0.0)
Point(x=-50.296906, y=0.17584229, z=-2.6004646, intensity=100.0, ring=7, azimuth=0.0, distance=50.366222, return_type=0, time_stamp=0.0)
Point(x=-7.873749, y=0.05496216, z=-2.0833294, intensity=100.0, ring=1, azimuth=0.0, distance=8.151688, return_type=0, time_stamp=0.0)
Point(x=-9.237183, y=0.064510345, z=-2.1046386, intensity=100.0, ring=2, azimuth=0.0, distance=9.480395, return_type=0, time_stamp=0.0)
Point(x=-11.122101, y=0.07760239, z=-2.132365, intensity=100.0, ring=3, azimuth=0.0, distance=11.330535, return_type=0, time_stamp=0.0)
Point(x=-13.848816, y=0.096652985, z=-2.1623826, intensity=100.0, ring=4, azimuth=0.0, distance=14.021757, return_type=0, time_stamp=0.0)
Point(x=-18.352234, y=0.1281395, z=-2.2207935, intensity=100.0, ring=5, azimuth=0.0, distance=18.490484, return_type=0, time_stamp=0.0)
Point(x=-27.273407, y=0.19034958, z=-2.3521564, intensity=100.0, ring=6, azimuth=0.0, distance=27.37827, return_type=0, time_stamp=0.0)
Point(x=-50.338043, y=0.35098648, z=-2.6026995, intensity=100.0, ring=7, azimuth=0.0, distance=50.408356, return_type=0, time_stamp=0.0)
Point(x=-7.8743286, y=0.08246994, z=-2.0834956, intensity=100.0, ring=1, azimuth=0.0, distance=8.152532, return_type=0, time_stamp=0.0)
Point(x=-9.2378235, y=0.096782684, z=-2.1048322, intensity=100.0, ring=2, azimuth=0.0, distance=9.481335, return_type=0, time_stamp=0.0)
Point(x=-11.122864, y=0.11645889, z=-2.1325982, intensity=100.0, ring=3, azimuth=0.0, distance=11.331668, return_type=0, time_stamp=0.0)
Point(x=-13.84967, y=0.14515686, z=-2.1625624, intensity=100.0, ring=4, azimuth=0.0, distance=14.023053, return_type=0, time_stamp=0.0)
Point(x=-18.352692, y=0.19203186, z=-2.2209706, intensity=100.0, ring=5, azimuth=0.0, distance=18.491518, return_type=0, time_stamp=0.0)
Point(x=-27.275665, y=0.28574753, z=-2.3524392, intensity=100.0, ring=6, azimuth=0.0, distance=27.381365, return_type=0, time_stamp=0.0)
Point(x=-50.39972, y=0.52808, z=-2.6059587, intensity=100.0, ring=7, azimuth=0.0, distance=50.471645, return_type=0, time_stamp=0.0)
Point(x=-7.8743896, y=0.10986328, z=-2.0836523, intensity=100.0, ring=1, azimuth=0.0, distance=8.152947, return_type=0, time_stamp=0.0)
Point(x=-9.238251, y=0.12891006, z=-2.1050215, intensity=100.0, ring=2, azimuth=0.0, distance=9.482156, return_type=0, time_stamp=0.0)
Point(x=-11.123657, y=0.15533066, z=-2.1328313, intensity=100.0, ring=3, azimuth=0.0, distance=11.332934, return_type=0, time_stamp=0.0)
Point(x=-13.850128, y=0.19342422, z=-2.1627374, intensity=100.0, ring=4, azimuth=0.0, distance=14.024117, return_type=0, time_stamp=0.0)
Point(x=-18.353668, y=0.25624466, z=-2.221156, intensity=100.0, ring=5, azimuth=0.0, distance=18.493294, return_type=0, time_stamp=0.0)
